"Name","Team","Season","GP","TOI","W/GP","L/GP","OL/GP","ROW/GP","Points/GP","Points%","GF/GP","GA/GP","G±/GP","Sh%","Sv%"
"Lightning","T.B","15-16",82,4966.7,0.56,0.38,0.06,0.52,1.18,59.1,2.77,2.45,0.32,9.3,91.6
"Blue Jackets","CBJ","17-18",82,4995.4,0.55,0.37,0.09,0.48,1.18,59.1,2.95,2.8,0.15,8.5,91.2
"Devils","N.J","17-18",82,4989.8,0.54,0.35,0.11,0.48,1.18,59.1,3.02,2.98,0.05,9.3,90.8
"Predators","NSH","21-22",82,4977.4,0.55,0.37,0.09,0.5,1.18,59.1,3.24,3.07,0.17,10.7,90.6
"Islanders","NYI","19-20",68,4146,0.51,0.34,0.15,0.47,1.18,58.8,2.82,2.84,-0.01,9.4,91.1
"Blues","STL","24-25",82,4981.4,0.54,0.37,0.1,0.49,1.17,58.5,3.1,2.84,0.26,11.4,89.6
"Flames","CGY","24-25",82,5002,0.5,0.33,0.17,0.44,1.17,58.5,2.74,2.9,-0.16,9.1,90.1
"Canadiens","MTL","10-11",82,4974,0.54,0.37,0.1,0.5,1.17,58.5,2.63,2.55,0.09,8.2,91.9
"Sabres","BUF","10-11",82,4999.1,0.52,0.35,0.12,0.46,1.17,58.5,2.99,2.79,0.2,8.9,90.9
"Sharks","S.J","11-12",82,5018,0.52,0.35,0.12,0.41,1.17,58.5,2.78,2.56,0.22,7.9,91.3
"Rangers","NYR","13-14",82,4966.9,0.55,0.38,0.07,0.5,1.17,58.5,2.66,2.35,0.3,7.9,92.1
"Bruins","BOS","14-15",82,5025.3,0.5,0.33,0.17,0.45,1.17,58.5,2.6,2.57,0.02,8.2,91.8
"Flyers","PHI","15-16",82,5012.6,0.5,0.33,0.17,0.46,1.17,58.5,2.61,2.66,-0.05,8.3,91.7
"Predators","NSH","15-16",82,4980.2,0.5,0.33,0.17,0.45,1.17,58.5,2.78,2.62,0.16,8.9,90.5
"Panthers","FLA","17-18",82,4972.5,0.54,0.37,0.1,0.5,1.17,58.5,3.02,3,0.02,8.7,91.4
"Canadiens","MTL","18-19",82,4957.7,0.54,0.37,0.1,0.5,1.17,58.5,3.04,2.88,0.16,8.8,90.7
"Oilers","EDM","19-20",71,4300.1,0.52,0.35,0.13,0.49,1.17,58.5,3.17,3.06,0.11,10.6,90.5
"Rangers","NYR","12-13",48,2927.2,0.54,0.38,0.08,0.46,1.17,58.3,2.71,2.33,0.38,8.5,92
"Red Wings","DET","12-13",48,2927.7,0.5,0.33,0.17,0.46,1.17,58.3,2.58,2.4,0.19,8.4,91.7
"Senators","OTT","12-13",48,2931.5,0.52,0.35,0.12,0.44,1.17,58.3,2.42,2.17,0.25,7.1,93.3
"Rangers","NYR","08-09",82,5010.7,0.52,0.37,0.11,NA,1.16,57.9,2.56,2.66,-0.1,7.6,91.3
"Avalanche","COL","09-10",82,4995.3,0.52,0.37,0.11,NA,1.16,57.9,2.98,2.84,0.13,10.4,91.3
"Stars","DAL","10-11",82,5002.2,0.51,0.35,0.13,0.45,1.16,57.9,2.77,2.84,-0.07,9.8,91
"Kings","L.A","11-12",82,5018.4,0.49,0.33,0.18,0.41,1.16,57.9,2.37,2.18,0.18,7.5,92.4
"Kings","L.A","14-15",82,4990.7,0.49,0.33,0.18,0.46,1.16,57.9,2.68,2.5,0.18,8.6,91.1
"Bruins","BOS","16-17",82,4964.1,0.54,0.38,0.09,0.51,1.16,57.9,2.85,2.59,0.27,8.5,90.5
"Maple Leafs","TOR","16-17",82,4991.7,0.49,0.33,0.18,0.48,1.16,57.9,3.06,2.95,0.11,9.6,91.2
"Avalanche","COL","17-18",82,4962.2,0.52,0.37,0.11,0.5,1.16,57.9,3.13,2.89,0.24,10.5,91.4
"Maple Leafs","TOR","19-20",70,4261.9,0.51,0.36,0.13,0.5,1.16,57.9,3.4,3.24,0.16,10.3,90.1
"Blue Jackets","CBJ","19-20",70,4261.8,0.47,0.31,0.21,0.47,1.16,57.9,2.57,2.67,-0.1,7.9,91.3
"Jets","WPG","22-23",82,4951.6,0.56,0.4,0.04,0.55,1.16,57.9,3.01,2.74,0.27,9.9,91
"Islanders","NYI","23-24",82,4983.1,0.48,0.33,0.2,0.46,1.15,57.3,3,3.21,-0.21,9.9,90.4
"Senators","OTT","09-10",82,4986.5,0.54,0.39,0.07,NA,1.15,57.3,2.74,2.9,-0.16,9,90
"Flames","CGY","10-11",82,5018.7,0.5,0.35,0.15,0.39,1.15,57.3,3.05,2.89,0.16,9.6,90.2
"Panthers","FLA","11-12",82,5025.8,0.46,0.32,0.22,0.39,1.15,57.3,2.48,2.77,-0.29,8.1,91.4
"Wild","MIN","12-13",48,2919.8,0.54,0.4,0.06,0.46,1.15,57.3,2.54,2.65,-0.1,8.5,90.4
"Islanders","NYI","12-13",48,2927.3,0.5,0.35,0.15,0.42,1.15,57.3,2.9,2.9,0,9.1,89.9
"Blue Jackets","CBJ","12-13",48,2949.9,0.5,0.35,0.15,0.4,1.15,57.3,2.5,2.48,0.02,9,92
"Flyers","PHI","13-14",82,4991.7,0.51,0.37,0.12,0.48,1.15,57.3,2.88,2.87,0.01,9.4,90.9
"Flames","CGY","16-17",82,4973.9,0.55,0.4,0.05,0.5,1.15,57.3,2.76,2.7,0.06,9.3,90.7
"Predators","NSH","16-17",82,4985.8,0.5,0.35,0.15,0.48,1.15,57.3,2.93,2.73,0.2,9.3,91.1
"Islanders","NYI","16-17",82,4978.6,0.5,0.35,0.15,0.48,1.15,57.3,2.94,2.95,-0.01,9.6,90.9
"Lightning","T.B","16-17",82,4988.1,0.51,0.37,0.12,0.46,1.15,57.3,2.85,2.77,0.09,9.4,91
"Blues","STL","17-18",82,4966.9,0.54,0.39,0.07,0.5,1.15,57.3,2.76,2.71,0.05,8.3,90.9
"Golden Knights","VGK","21-22",82,4979.8,0.52,0.38,0.1,0.48,1.15,57.3,3.24,3.02,0.22,9.3,90.1
"Predators","NSH","20-21",56,3406.8,0.55,0.41,0.04,0.46,1.14,57.1,2.79,2.75,0.04,9,91.2
"Canadiens","MTL","08-09",82,5007,0.5,0.37,0.13,NA,1.13,56.7,3.04,3.01,0.02,9.8,90.8
"Panthers","FLA","08-09",82,4998.3,0.5,0.37,0.13,NA,1.13,56.7,2.85,2.82,0.04,9.6,92.2
"Rangers","NYR","10-11",82,4991.8,0.54,0.4,0.06,0.43,1.13,56.7,2.84,2.41,0.43,9.1,91.9
"Blue Jackets","CBJ","13-14",82,4976.8,0.52,0.39,0.09,0.46,1.13,56.7,2.82,2.63,0.18,9.3,91.5
"Red Wings","DET","13-14",82,5026.5,0.48,0.34,0.18,0.41,1.13,56.7,2.71,2.8,-0.1,8.9,90.8
"Red Wings","DET","15-16",82,4992.9,0.5,0.37,0.13,0.48,1.13,56.7,2.57,2.73,-0.16,8.6,91
"Bruins","BOS","15-16",82,4978.5,0.51,0.38,0.11,0.46,1.13,56.7,2.93,2.8,0.12,9,90.9
"Stars","DAL","18-19",82,4962.6,0.52,0.39,0.09,0.51,1.13,56.7,2.56,2.46,0.1,8.3,92.3
"Golden Knights","VGK","18-19",82,4959.5,0.52,0.39,0.09,0.49,1.13,56.7,3.04,2.8,0.23,8.7,90.5
"Islanders","NYI","22-23",82,4973.2,0.51,0.38,0.11,0.5,1.13,56.7,2.96,2.71,0.26,9.6,91.5
"Flames","CGY","22-23",82,4998.6,0.46,0.33,0.21,0.44,1.13,56.7,3.17,3.07,0.1,8.7,89
"Panthers","FLA","19-20",69,4185.2,0.51,0.38,0.12,0.46,1.13,56.5,3.35,3.3,0.04,10.1,89.9
