"Name","Team","Season","GP","TOI","W/GP","L/GP","OL/GP","ROW/GP","Points/GP","Points%","GF/GP","GA/GP","G±/GP","Sh%","Sv%"
"Canucks","VAN","13-14",82,5007.9,0.44,0.43,0.13,0.38,1.01,50.6,2.39,2.72,-0.33,7.6,90.7
"Hurricanes","CAR","17-18",82,4982,0.44,0.43,0.13,0.4,1.01,50.6,2.78,3.12,-0.34,8.1,89.3
"Wild","MIN","18-19",82,4968.1,0.45,0.44,0.11,0.44,1.01,50.6,2.57,2.89,-0.32,8.2,90.4
"Canucks","VAN","22-23",82,4991.8,0.46,0.45,0.09,0.39,1.01,50.6,3.37,3.63,-0.27,11.1,88.3
"Hurricanes","CAR","11-12",82,4988.7,0.4,0.4,0.2,0.39,1,50,2.6,2.96,-0.37,8.5,91.1
"Stars","DAL","12-13",48,2906.1,0.46,0.46,0.08,0.42,1,50,2.71,2.96,-0.25,10.2,90.5
"Devils","N.J","12-13",48,2937.8,0.4,0.4,0.21,0.35,1,50,2.33,2.69,-0.35,8.1,89
"Sabres","BUF","12-13",48,2946.1,0.44,0.44,0.12,0.29,1,50,2.6,2.98,-0.38,8.8,91.3
"Avalanche","COL","15-16",82,4958.5,0.48,0.48,0.05,0.43,1,50,2.63,2.93,-0.29,9,90.9
"Canadiens","MTL","15-16",82,4973.8,0.46,0.46,0.07,0.4,1,50,2.7,2.88,-0.18,8.6,90.3
"Flyers","PHI","18-19",82,4963.8,0.45,0.45,0.1,0.41,1,50,2.98,3.43,-0.45,9.3,89.5
"Canadiens","MTL","19-20",71,4309.9,0.44,0.44,0.13,0.38,1,50,2.99,3.11,-0.13,8.6,90
"Islanders","NYI","24-25",82,4978,0.43,0.43,0.15,0.4,1,50,2.73,3.17,-0.44,9.2,89.1
"Maple Leafs","TOR","08-09",82,4945.9,0.41,0.43,0.16,NA,0.99,49.4,3.05,3.57,-0.52,9.4,88.5
"Devils","N.J","10-11",82,4975.9,0.46,0.48,0.06,0.43,0.99,49.4,2.12,2.55,-0.43,7.3,90.4
"Blue Jackets","CBJ","10-11",82,5011.6,0.41,0.43,0.16,0.35,0.99,49.4,2.62,3.15,-0.52,8.4,89.8
"Wild","MIN","11-12",82,5030.6,0.43,0.44,0.13,0.29,0.99,49.4,2.16,2.76,-0.6,7.6,91.6
"Sabres","BUF","15-16",82,4991.1,0.43,0.44,0.13,0.4,0.99,49.4,2.45,2.71,-0.26,8.2,91.4
"Panthers","FLA","16-17",82,5007.4,0.43,0.44,0.13,0.37,0.99,49.4,2.56,2.89,-0.33,7.8,91.1
"Canucks","VAN","18-19",82,5010,0.43,0.44,0.13,0.35,0.99,49.4,2.74,3.1,-0.35,9,90.5
"Blue Jackets","CBJ","21-22",82,4971.9,0.45,0.46,0.09,0.4,0.99,49.4,3.2,3.66,-0.46,10.5,89.7
"Blues","STL","22-23",82,4969.5,0.45,0.46,0.09,0.41,0.99,49.4,3.21,3.67,-0.46,11.1,88.8
"Devils","N.J","23-24",82,4949.3,0.46,0.48,0.06,0.46,0.99,49.4,3.22,3.45,-0.23,10.5,88.6
"Flames","CGY","23-24",82,4962.2,0.46,0.48,0.06,0.46,0.99,49.4,3.09,3.3,-0.22,9.8,89.1
"Kraken","SEA","23-24",82,4994,0.41,0.43,0.16,0.38,0.99,49.4,2.65,2.88,-0.23,9.1,90.3
"Sabres","BUF","19-20",69,4184.5,0.43,0.45,0.12,0.41,0.99,49.3,2.83,3.14,-0.32,9.5,90
"Devils","N.J","19-20",69,4204.7,0.41,0.42,0.17,0.35,0.99,49.3,2.74,3.33,-0.59,8.7,90.1
"Flames","CGY","20-21",56,3376.8,0.46,0.48,0.05,0.45,0.98,49.1,2.79,2.88,-0.09,9.2,89.9
"Blackhawks","CHI","20-21",56,3415.3,0.43,0.45,0.12,0.39,0.98,49.1,2.88,3.32,-0.45,9.7,90.3
"Hurricanes","CAR","09-10",82,4926.7,0.43,0.45,0.12,NA,0.98,48.8,2.8,3.12,-0.32,9.4,90.2
"Lightning","T.B","09-10",82,5002,0.41,0.44,0.15,NA,0.98,48.8,2.65,3.17,-0.52,9,90.2
"Thrashers","ATL","10-11",82,5012.8,0.41,0.44,0.15,0.35,0.98,48.8,2.72,3.28,-0.56,8.4,90.1
"Ducks","ANA","11-12",82,4986.9,0.41,0.44,0.15,0.38,0.98,48.8,2.49,2.82,-0.33,8.8,90.5
"Maple Leafs","TOR","11-12",82,4986.7,0.43,0.45,0.12,0.38,0.98,48.8,2.82,3.22,-0.4,9.8,89.8
"Islanders","NYI","17-18",82,4983.5,0.43,0.45,0.12,0.39,0.98,48.8,3.22,3.61,-0.39,10.1,90
"Ducks","ANA","18-19",82,4972,0.43,0.45,0.12,0.39,0.98,48.8,2.43,3.06,-0.63,8.6,90.9
"Red Wings","DET","22-23",82,4983.2,0.43,0.45,0.12,0.39,0.98,48.8,2.93,3.4,-0.48,10.3,89
"Capitals","WSH","22-23",82,4977.3,0.43,0.45,0.12,0.4,0.98,48.8,3.11,3.23,-0.12,9.9,89.8
"Penguins","PIT","24-25",82,4982.6,0.41,0.44,0.15,0.4,0.98,48.8,2.96,3.57,-0.61,10.4,88.4
"Ducks","ANA","24-25",82,4989.3,0.43,0.45,0.12,0.38,0.98,48.8,2.7,3.21,-0.51,9.6,90.1
"Coyotes","ARI","08-09",82,4901.5,0.44,0.48,0.09,NA,0.96,48.2,2.54,3.07,-0.54,8.9,90.3
"Kings","L.A","08-09",82,5002.3,0.41,0.45,0.13,NA,0.96,48.2,2.52,2.85,-0.33,8.5,90.2
"Islanders","NYI","09-10",82,4955.2,0.41,0.45,0.13,NA,0.96,48.2,2.71,3.22,-0.51,8.5,90.2
"Blue Jackets","CBJ","09-10",82,4937.4,0.39,0.43,0.18,NA,0.96,48.2,2.63,3.16,-0.52,9.1,89.9
"Islanders","NYI","11-12",82,4999.6,0.41,0.45,0.13,0.33,0.96,48.2,2.48,3.11,-0.63,8.1,89.8
"Islanders","NYI","13-14",82,5016,0.41,0.45,0.13,0.3,0.96,48.2,2.74,3.26,-0.51,8.5,89.4
"Stars","DAL","16-17",82,4960.1,0.41,0.45,0.13,0.4,0.96,48.2,2.72,3.2,-0.48,8.9,89.4
"Red Wings","DET","16-17",82,5018.6,0.4,0.44,0.16,0.29,0.96,48.2,2.52,2.98,-0.45,8.5,90.3
"Oilers","EDM","18-19",82,4967.6,0.43,0.46,0.11,0.39,0.96,48.2,2.83,3.34,-0.51,9.6,89.6
"Coyotes","ARI","20-21",56,3399.3,0.43,0.46,0.11,0.38,0.96,48.2,2.73,3.14,-0.41,9.8,89.8
"Sabres","BUF","24-25",82,4972.1,0.44,0.48,0.09,0.39,0.96,48.2,3.28,3.52,-0.24,11.6,87.9
"Canadiens","MTL","11-12",82,5017.9,0.38,0.43,0.2,0.32,0.95,47.6,2.59,2.76,-0.17,8.8,91.2
"Devils","N.J","14-15",82,4998.1,0.39,0.44,0.17,0.33,0.95,47.6,2.21,2.63,-0.43,8.8,91.7
"Coyotes","ARI","15-16",82,4956.2,0.43,0.48,0.1,0.41,0.95,47.6,2.55,2.99,-0.44,9.2,90.4
"Jets","WPG","15-16",82,4971.4,0.43,0.48,0.1,0.39,0.95,47.6,2.62,2.91,-0.29,8.7,90.3
"Sabres","BUF","16-17",82,4984.9,0.4,0.45,0.15,0.38,0.95,47.6,2.45,2.89,-0.44,8,91.8
"Oilers","EDM","17-18",82,4976.5,0.44,0.49,0.07,0.38,0.95,47.6,2.85,3.21,-0.35,8.4,90.1
"Rangers","NYR","18-19",82,5002.7,0.39,0.44,0.17,0.32,0.95,47.6,2.77,3.32,-0.55,9.2,90.4
"Senators","OTT","23-24",82,4975,0.45,0.5,0.05,0.39,0.95,47.6,3.11,3.43,-0.32,9.6,88.5
"Ducks","ANA","19-20",71,4321,0.41,0.46,0.13,0.34,0.94,47.2,2.63,3.18,-0.55,8.6,90.2
"Panthers","FLA","09-10",82,5008.2,0.39,0.45,0.16,NA,0.94,47,2.54,2.98,-0.44,8.7,91.6
"Flames","CGY","13-14",82,4995,0.43,0.49,0.09,0.34,0.94,47,2.55,2.94,-0.39,9.2,89.9
"Flames","CGY","15-16",82,4973.2,0.43,0.49,0.09,0.4,0.94,47,2.82,3.17,-0.35,9.5,89.2
"Rangers","NYR","17-18",82,4979.5,0.41,0.48,0.11,0.38,0.94,47,2.82,3.27,-0.45,9,90.9
"Sharks","S.J","21-22",82,4975.6,0.39,0.45,0.16,0.35,0.94,47,2.61,3.22,-0.61,8.8,90
"Coyotes","ARI","23-24",82,4964,0.44,0.5,0.06,0.41,0.94,47,3.12,3.34,-0.22,11.2,89.5
"Oilers","EDM","12-13",48,2923.7,0.4,0.46,0.15,0.35,0.94,46.9,2.6,2.79,-0.19,9.6,91.7
"Canadiens","MTL","23-24",82,5013.1,0.37,0.44,0.2,0.32,0.93,46.3,2.88,3.52,-0.65,10.2,89.7
"Kraken","SEA","24-25",82,4958.8,0.43,0.5,0.07,0.4,0.93,46.3,3.01,3.23,-0.22,10.9,88.8
"Bruins","BOS","24-25",82,4974,0.4,0.48,0.12,0.4,0.93,46.3,2.71,3.32,-0.61,10.2,88.5
"Flyers","PHI","24-25",82,4995.2,0.4,0.48,0.12,0.33,0.93,46.3,2.9,3.49,-0.59,10.5,87.2
"Thrashers","ATL","08-09",82,4981.5,0.43,0.5,0.07,NA,0.93,46.3,3.13,3.41,-0.28,10.8,89.6
"Blue Jackets","CBJ","15-16",82,4985.3,0.41,0.49,0.1,0.34,0.93,46.3,2.67,3.07,-0.4,8.9,90.3
"Blackhawks","CHI","17-18",82,4966.3,0.4,0.48,0.12,0.39,0.93,46.3,2.79,3.12,-0.33,8.2,90.6
"Sabres","BUF","18-19",82,4994.4,0.4,0.48,0.12,0.34,0.93,46.3,2.76,3.3,-0.55,8.2,90.1
"Ducks","ANA","21-22",82,5002,0.38,0.45,0.17,0.33,0.93,46.3,2.83,3.3,-0.48,9.5,90.2
"Canucks","VAN","15-16",82,5004.4,0.38,0.46,0.16,0.32,0.91,45.7,2.33,2.96,-0.63,8,91
"Kings","L.A","19-20",70,4240.2,0.41,0.5,0.09,0.4,0.91,45.7,2.54,3.03,-0.49,7.6,89.9
"Sabres","BUF","21-22",82,4974.5,0.39,0.48,0.13,0.35,0.91,45.7,2.83,3.54,-0.71,9.3,89.4
"Flyers","PHI","22-23",82,4973,0.38,0.46,0.16,0.35,0.91,45.7,2.71,3.38,-0.67,9.1,89.3
"Senators","OTT","20-21",56,3392.1,0.41,0.5,0.09,0.38,0.91,45.5,2.8,3.39,-0.59,9.3,89.5
"Maple Leafs","TOR","09-10",82,5003.2,0.37,0.46,0.17,NA,0.9,45.1,2.61,3.26,-0.65,7.9,89.2
"Senators","OTT","10-11",82,4972,0.39,0.49,0.12,0.37,0.9,45.1,2.34,3.05,-0.71,8,90.4
"Oilers","EDM","11-12",82,4987.3,0.39,0.49,0.12,0.33,0.9,45.1,2.59,2.91,-0.33,9.5,90.8
"Red Wings","DET","18-19",82,4997,0.39,0.49,0.12,0.35,0.9,45.1,2.77,3.38,-0.61,9.4,90.1
"Red Wings","DET","21-22",82,4982.1,0.39,0.49,0.12,0.35,0.9,45.1,2.8,3.8,-1,9.4,88.8
"Sharks","S.J","19-20",70,4233.4,0.41,0.51,0.07,0.39,0.9,45,2.6,3.23,-0.63,8.6,89.5
"Canucks","VAN","20-21",56,3389.2,0.41,0.52,0.07,0.36,0.89,44.6,2.7,3.36,-0.66,9.1,90
"Islanders","NYI","10-11",82,5013.1,0.37,0.48,0.16,0.32,0.89,44.5,2.79,3.22,-0.43,9.3,90.2
"Canucks","VAN","17-18",82,4973,0.38,0.49,0.13,0.38,0.89,44.5,2.66,3.22,-0.56,8.8,90.2
"Red Wings","DET","17-18",82,4984,0.37,0.48,0.16,0.3,0.89,44.5,2.65,3.11,-0.46,8.5,90.3
"Senators","OTT","21-22",82,4967,0.4,0.51,0.09,0.37,0.89,44.5,2.77,3.24,-0.48,9.1,90.4
"Panthers","FLA","10-11",82,5004.1,0.37,0.49,0.15,0.32,0.88,43.9,2.38,2.79,-0.41,7.7,91.5
"Devils","N.J","18-19",82,4984.4,0.38,0.5,0.12,0.34,0.88,43.9,2.71,3.35,-0.65,8.8,89.6
"Flames","CGY","12-13",48,2901.2,0.4,0.52,0.08,0.4,0.88,43.8,2.67,3.33,-0.67,9.9,88.9
"Hurricanes","CAR","12-13",48,2898.4,0.4,0.52,0.08,0.38,0.88,43.8,2.67,3.33,-0.67,8.2,89.7
"Kings","L.A","20-21",56,3390.6,0.38,0.5,0.12,0.36,0.88,43.8,2.55,3.04,-0.48,8.9,90.3
"Sharks","S.J","20-21",56,3409.3,0.38,0.5,0.12,0.29,0.88,43.8,2.7,3.55,-0.86,8.7,89.1
"Senators","OTT","19-20",71,4322.9,0.35,0.48,0.17,0.34,0.87,43.7,2.69,3.42,-0.73,8.7,90
"Hurricanes","CAR","14-15",82,4999,0.37,0.5,0.13,0.3,0.87,43.3,2.29,2.76,-0.46,7.3,90.2
"Canadiens","MTL","17-18",82,4979.7,0.35,0.49,0.16,0.33,0.87,43.3,2.55,3.22,-0.67,7.7,90.3
"Kings","L.A","18-19",82,4980.7,0.38,0.51,0.11,0.34,0.87,43.3,2.46,3.21,-0.74,8.4,90
"Red Wings","DET","20-21",56,3403.1,0.34,0.48,0.18,0.3,0.86,42.9,2.27,3.05,-0.79,8.2,90.6
"Blue Jackets","CBJ","20-21",56,3419.8,0.32,0.46,0.21,0.27,0.86,42.9,2.45,3.34,-0.89,8.2,89.9
"Predators","NSH","12-13",48,2929.4,0.33,0.48,0.19,0.29,0.85,42.7,2.31,2.9,-0.58,8.8,90
"Oilers","EDM","15-16",82,4981.9,0.38,0.52,0.1,0.33,0.85,42.7,2.48,2.99,-0.51,8.3,90.5
"Devils","N.J","16-17",82,4987.6,0.34,0.49,0.17,0.3,0.85,42.7,2.23,2.98,-0.74,7.9,90.6
"Coyotes","ARI","16-17",82,4985.8,0.37,0.51,0.12,0.29,0.85,42.7,2.4,3.17,-0.77,8.4,90.8
"Coyotes","ARI","17-18",82,4999.2,0.35,0.5,0.15,0.33,0.85,42.7,2.54,3.12,-0.59,8.4,90.5
"Coyotes","ARI","22-23",82,4991.8,0.34,0.49,0.17,0.3,0.85,42.7,2.78,3.65,-0.87,10.6,89.7
"Avalanche","COL","08-09",82,4989.7,0.39,0.55,0.06,NA,0.84,42.1,2.43,3.13,-0.71,8.1,89.3
"Maple Leafs","TOR","15-16",82,4996.5,0.35,0.51,0.13,0.28,0.84,42.1,2.41,3,-0.59,7.6,90.4
"Canucks","VAN","16-17",82,4979.6,0.37,0.52,0.11,0.32,0.84,42.1,2.22,2.96,-0.74,7.8,90.8
"Lightning","T.B","12-13",48,2904.3,0.38,0.54,0.08,0.35,0.83,41.7,3.08,3.12,-0.04,11.1,89.9
"Avalanche","COL","10-11",82,4990.5,0.37,0.54,0.1,0.29,0.83,41.5,2.77,3.51,-0.74,9.2,89
"Maple Leafs","TOR","14-15",82,4990,0.37,0.54,0.1,0.3,0.83,41.5,2.57,3.2,-0.62,8.6,90.6
"Blackhawks","CHI","21-22",82,4996.3,0.34,0.51,0.15,0.27,0.83,41.5,2.67,3.55,-0.88,9,89.3
"Canadiens","MTL","22-23",82,4973.6,0.38,0.55,0.07,0.32,0.83,41.5,2.83,3.74,-0.91,10.1,88.9
"Predators","NSH","24-25",82,4955,0.37,0.54,0.1,0.34,0.83,41.5,2.61,3.34,-0.73,8.8,88.3
"Oilers","EDM","13-14",82,4981.9,0.35,0.54,0.11,0.3,0.82,40.9,2.48,3.29,-0.82,9,90.1
"Senators","OTT","17-18",82,4985.1,0.34,0.52,0.13,0.32,0.82,40.9,2.7,3.55,-0.85,8.7,89.5
"Avalanche","COL","12-13",48,2930.5,0.33,0.52,0.15,0.29,0.81,40.6,2.42,3.17,-0.75,8.1,90.1
"Blue Jackets","CBJ","23-24",82,4978.6,0.33,0.52,0.15,0.29,0.8,40.2,2.89,3.66,-0.77,9.5,89.5
"Lightning","T.B","08-09",82,5008.2,0.29,0.49,0.22,NA,0.8,40.2,2.56,3.4,-0.84,8.9,90
"Panthers","FLA","13-14",82,4996.9,0.35,0.55,0.1,0.26,0.8,40.2,2.39,3.27,-0.88,7.7,89.7
"Devils","N.J","20-21",56,3402.9,0.34,0.54,0.12,0.34,0.8,40.2,2.59,3.46,-0.88,9,89.1
"Blue Jackets","CBJ","11-12",82,4973.8,0.35,0.56,0.09,0.3,0.79,39.6,2.46,3.2,-0.73,8.1,89.9
"Senators","OTT","18-19",82,4944.6,0.35,0.57,0.07,0.35,0.78,39,2.95,3.68,-0.73,10,89.7
"Ducks","ANA","20-21",56,3400.2,0.3,0.54,0.16,0.27,0.77,38.4,2.25,3.2,-0.95,8.3,89.7
"Devils","N.J","21-22",82,4978.5,0.33,0.56,0.11,0.29,0.77,38.4,3.02,3.74,-0.72,9.6,88.1
"Oilers","EDM","09-10",82,4997.1,0.33,0.57,0.1,NA,0.76,37.8,2.61,3.46,-0.85,8.9,89.8
"Oilers","EDM","10-11",82,4989.6,0.3,0.55,0.15,0.28,0.76,37.8,2.35,3.28,-0.93,8.7,90
"Oilers","EDM","14-15",82,5004.3,0.29,0.54,0.17,0.23,0.76,37.8,2.41,3.45,-1.04,8.3,88.8
"Sabres","BUF","17-18",82,4974,0.3,0.55,0.15,0.29,0.76,37.8,2.43,3.41,-0.99,7.7,89.6
"Panthers","FLA","12-13",48,2914.8,0.31,0.56,0.12,0.25,0.75,37.5,2.33,3.56,-1.23,7.8,88.6
"Islanders","NYI","08-09",82,4976.5,0.32,0.57,0.11,NA,0.74,37.2,2.45,3.4,-0.95,8.3,90
"Flyers","PHI","21-22",82,4968.8,0.3,0.56,0.13,0.29,0.74,37.2,2.57,3.63,-1.06,8.3,89.4
"Blackhawks","CHI","24-25",82,4964.5,0.3,0.56,0.13,0.28,0.74,37.2,2.76,3.61,-0.85,11.2,88.5
"Kraken","SEA","21-22",82,4949.8,0.33,0.6,0.07,0.29,0.73,36.6,2.63,3.48,-0.84,8.9,88
"Sharks","S.J","22-23",82,4984.7,0.27,0.54,0.2,0.26,0.73,36.6,2.85,3.91,-1.06,9.6,88.1
"Blackhawks","CHI","22-23",82,4967.4,0.32,0.6,0.09,0.29,0.72,36,2.49,3.67,-1.18,9.1,89.2
"Blue Jackets","CBJ","22-23",82,4967,0.3,0.59,0.11,0.29,0.72,36,2.61,4.02,-1.41,8.9,88.7
"Ducks","ANA","23-24",82,4951.6,0.33,0.61,0.06,0.32,0.72,36,2.49,3.6,-1.11,9.2,89
"Ducks","ANA","22-23",82,4985.6,0.28,0.57,0.15,0.24,0.71,35.4,2.55,4.12,-1.57,8.9,89.6
"Coyotes","ARI","21-22",82,4969.4,0.3,0.61,0.09,0.29,0.7,34.8,2.52,3.82,-1.29,9.7,89.4
"Coyotes","ARI","14-15",82,4995.4,0.29,0.61,0.1,0.23,0.68,34.1,2.07,3.32,-1.24,6.9,90.2
"Canadiens","MTL","21-22",82,4972.2,0.27,0.6,0.13,0.23,0.67,33.5,2.7,3.89,-1.2,8.9,88.8
"Sabres","BUF","20-21",56,3404.3,0.27,0.61,0.12,0.2,0.66,33,2.46,3.55,-1.09,8.4,89.6
"Sabres","BUF","14-15",82,4990,0.28,0.62,0.1,0.18,0.66,32.9,1.96,3.34,-1.38,7.7,90.8
"Sharks","S.J","24-25",82,4973.2,0.24,0.61,0.15,0.22,0.63,31.7,2.56,3.84,-1.28,9.4,88.1
"Blackhawks","CHI","23-24",82,4950,0.28,0.65,0.07,0.27,0.63,31.7,2.18,3.54,-1.35,8.3,89.2
"Sabres","BUF","13-14",82,4994.5,0.26,0.62,0.12,0.17,0.63,31.7,1.91,3.02,-1.11,7,91.4
"Avalanche","COL","16-17",82,4953.8,0.27,0.68,0.05,0.26,0.59,29.3,2.02,3.39,-1.37,7.2,89.4
"Sharks","S.J","23-24",82,4970.1,0.23,0.66,0.11,0.22,0.57,28.7,2.21,4.04,-1.83,8.7,88.7
"Red Wings","DET","19-20",71,4290.5,0.24,0.69,0.07,0.2,0.55,27.5,2.04,3.76,-1.72,7.4,88.6
