"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Devils","N.J","17-18",82,4064.3,-0.61,1.03,0.0011,-0.0014,-0.04,0.06,0.05,-0.06,-0.09,0.11,0,-0.12,-0.1
"Penguins","PIT","17-18",82,4056.28,3.23,-1.88,0.0021,0.003,0.19,-0.11,0.1,0.12,0.29,-0.03,-0.15,-0.22,-0.1
"Wild","MIN","23-24",82,4010.02,-2.01,-1.35,-0.0025,-0.0059,-0.12,-0.08,-0.1,-0.24,-0.04,0.14,0.08,-0.29,-0.1
"Canadiens","MTL","23-24",82,4074,-3.4,3.45,0.0054,0.0048,-0.21,0.21,0.21,0.22,-0.42,-0.01,-0.07,0.4,-0.1
"Stars","DAL","08-09",82,3840.48,-0.82,-1.38,-0.0062,-0.0034,-0.05,-0.08,-0.25,-0.13,0.03,-0.11,0.4,-0.43,-0.11
"Predators","NSH","08-09",82,3863.32,-1.35,0.59,-0.0034,-0.0002,-0.08,0.03,-0.13,-0.01,-0.11,-0.13,0.02,0.11,-0.11
"Hurricanes","CAR","10-11",81,3903.65,1.4,6.49,0.004,0.0022,0.08,0.37,0.17,0.11,-0.29,0.07,-0.13,0.24,-0.11
"Islanders","NYI","12-13",48,2426.5,1.14,-0.58,0.0074,0.0049,0.06,-0.03,0.3,0.19,0.1,0.11,-0.26,-0.06,-0.11
"Flyers","PHI","14-15",82,4082.65,-1.74,0.58,-0.0022,-0.0004,-0.1,0.03,-0.08,-0.02,-0.13,-0.07,-0.07,0.15,-0.11
"Red Wings","DET","15-16",82,4028.63,-0.17,-0.9,0.004,0.0038,-0.01,-0.05,0.16,0.15,0.04,0.01,-0.27,0.11,-0.11
"Penguins","PIT","22-23",82,4009.02,4.82,0.66,0.0052,0.0028,0.3,0.04,0.25,0.12,0.26,0.13,-0.55,0.05,-0.11
"Kraken","SEA","23-24",82,4130.82,-0.9,-0.63,-0.0001,-0.0027,-0.05,-0.04,0,-0.11,-0.02,0.11,-0.38,0.17,-0.11
"Sabres","BUF","19-20",69,3469.17,-3.26,-0.79,-0.0063,-0.0048,-0.2,-0.05,-0.24,-0.2,-0.15,-0.04,0.27,-0.19,-0.12
"Canucks","VAN","19-20",69,3367.03,0.46,2.09,-0.0029,-0.0009,0.03,0.13,-0.12,-0.04,-0.1,-0.08,0.15,-0.09,-0.12
"Stars","DAL","21-22",82,4131.33,-1.22,-0.33,0.0012,-0.0034,-0.08,-0.02,0.05,-0.14,-0.06,0.19,-0.34,0.09,-0.12
"Blues","STL","20-21",56,2827.43,-3.82,-0.6,-0.0057,-0.0012,-0.23,-0.04,-0.21,-0.05,-0.2,-0.16,0.29,-0.06,-0.12
"Flames","CGY","23-24",82,4075.67,1.58,-0.36,-0.0008,0.0043,0.1,-0.02,-0.03,0.18,0.12,-0.21,-0.03,0.01,-0.12
"Panthers","FLA","09-10",82,3982.08,-2.7,4.69,-0.0029,-0.003,-0.16,0.27,-0.11,-0.14,-0.43,0.03,0.06,0.21,-0.13
"Canadiens","MTL","11-12",82,3944.92,-2.5,0.89,-0.002,-0.0021,-0.14,0.05,-0.08,-0.09,-0.19,0.01,0.14,-0.09,-0.13
"Devils","N.J","13-14",82,4079.33,-3.72,-8.51,0.0039,-0.0002,-0.21,-0.47,0.14,-0.01,0.27,0.15,-0.28,-0.27,-0.13
"Oilers","EDM","17-18",82,4156.3,1.63,0.75,0.0041,0.0039,0.09,0.04,0.18,0.17,0.05,0.02,-0.24,0.04,-0.13
"Predators","NSH","22-23",82,4020.9,-1.43,3.04,0.003,0.0023,-0.09,0.19,0.12,0.11,-0.28,0.02,-0.39,0.52,-0.13
"Flames","CGY","24-25",82,4140.32,1.76,0.09,-0.0028,0.0027,0.11,0.01,-0.12,0.11,0.1,-0.23,-0.35,0.35,-0.14
