playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGoalsAgainst,regularShotsAgainst,regularShutouts,regularSaves,regularWins,regularLosses,regularOtLosses,postseasonGoalsAgainst,postseasonShotsAgainst,postseasonSaves,postseasonShutouts,postseasonWins,postseasonLosses,postseasonOtLosses
278785,G,G,ahl,professional,583,2,22,0,20,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
351840,G,G,nhl,professional,915,245,3052,10,2807,47,45,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
571024,G,G,nhl,professional,1997,37,315,0,278,1,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
520449,G,G,nhl,professional,302,126,1245,0,1119,24,14,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
834910,G,G,ahl,professional,36,104,1068,0,964,18,14,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102716,G,G,nhl,professional,499,133,1584,0,1451,11,28,6,0,6,6,0,0,0,NULL
104202,G,G,ahl,professional,1170,114,1096,1,982,16,17,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71792,G,G,ahl,professional,1390,230,2580,9,2350,56,29,6,50,485,435,0,8,9,0
809844,G,G,ahl,professional,415,42,357,0,315,5,6,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119218,G,G,nhl,professional,1010,121,1780,8,1659,37,17,5,13,176,163,0,1,4,NULL
834573,G,G,nhl,professional,72,55,531,1,476,6,9,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52075,G,G,nhl,professional,1070,208,2296,0,2088,42,23,10,15,99,84,0,0,2,NULL
715706,G,G,ahl,professional,2387,143,1436,2,1293,23,23,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
827902,G,G,ahl,professional,1095,49,458,2,409,9,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
620029,G,G,ahl,professional,504,48,668,2,620,16,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
669356,G,G,nhl,professional,780,243,2364,4,2121,39,28,15,22,228,206,1,3,4,NULL
63802,G,G,nhl,professional,85,107,1178,4,1071,19,20,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165443,G,G,ahl,professional,2340,128,1268,3,1140,20,15,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48052,G,G,nhl,professional,2620,116,1139,1,1023,7,24,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60758,G,G,nhl,professional,780,104,1207,1,1103,18,14,4,22,203,181,0,2,4,0
206582,G,G,ahl,professional,61,29,373,2,344,11,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
752218,G,G,ahl,professional,634,86,844,0,758,20,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182470,G,G,nhl,professional,4425,161,1449,0,1288,20,19,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
439630,G,G,nhl,professional,1193,304,3516,9,3212,70,40,14,19,164,145,0,3,3,NULL
140444,G,G,nhl,professional,106,38,314,0,276,4,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73987,G,G,nhl,professional,332,50,503,1,453,4,5,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
834513,G,G,nhl,professional,1334,194,2665,4,2471,62,16,8,25,236,211,0,3,4,0
592007,G,G,ahl,professional,1517,57,563,0,506,13,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55285,G,G,nhl,professional,1431,139,1671,8,1532,35,18,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82451,G,G,nhl,professional,291,71,989,6,918,26,10,0,33,403,370,1,9,7,NULL
660295,G,G,nhl,professional,502,134,1606,2,1472,21,26,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
746320,G,G,nhl,professional,419,138,1402,3,1264,20,21,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
615867,G,G,nhl,professional,789,120,1414,7,1294,30,21,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
570698,G,G,nhl,professional,109,11,81,0,70,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
740296,G,G,ahl,professional,3169,52,459,1,407,5,7,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
824874,G,G,ahl,professional,264,140,1393,1,1253,21,19,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48051,G,G,ahl,professional,276,64,490,1,426,4,10,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
830892,G,G,ahl,professional,650,187,1790,2,1603,33,21,11,7,68,61,0,1,1,0
32290,G,G,ahl,professional,173,75,641,2,566,11,7,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105927,G,G,nhl,professional,1275,92,809,0,717,10,10,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312039,G,G,nhl,professional,752,12,103,0,91,1,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
817832,G,G,nhl,professional,2272,6,40,0,34,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52015,G,G,ahl,professional,1638,70,755,0,685,10,13,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
832325,G,G,ahl,professional,336,127,1273,0,1146,19,16,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
638160,G,G,ahl,professional,762,236,2127,3,1891,35,30,14,44,567,523,2,11,9,0
751126,G,G,ahl,professional,855,66,600,0,534,6,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146039,G,G,nhl,professional,971,7,57,0,50,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
834910,G,G,nhl,professional,36,3,17,0,14,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102716,G,G,nhl,professional,1691,41,517,0,476,4,8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104202,G,G,nhl,professional,1170,10,119,0,109,1,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71792,G,G,nhl,professional,1390,6,70,0,64,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
809844,G,G,nhl,professional,415,158,1404,0,1246,15,25,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78426,G,G,ahl,professional,2562,155,1587,4,1432,34,15,13,48,513,465,1,12,6,0
831182,G,G,ahl,professional,973,79,790,0,711,15,8,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339498,G,G,nhl,professional,552,264,2747,5,2483,31,42,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
620029,G,G,ahl,professional,776,48,668,2,620,16,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
669356,G,G,nhl,professional,1475,243,2364,4,2121,39,28,15,22,228,206,1,3,4,NULL
63802,G,G,nhl,professional,98,46,530,2,484,9,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165443,G,G,nhl,professional,2340,80,865,1,785,14,14,3,18,229,211,2,4,4,0
166648,G,G,ahl,professional,405,126,1517,10,1391,34,18,2,14,146,132,0,1,3,NULL
60758,G,G,nhl,professional,1334,272,2729,1,2457,39,40,8,22,203,181,0,2,4,0
51891,G,G,ahl,professional,949,193,1937,4,1744,34,25,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
839435,G,G,ahl,professional,617,105,1393,2,1288,27,15,4,28,330,302,1,5,5,0
57280,G,G,ahl,professional,689,103,965,0,862,12,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140444,G,G,nhl,professional,146,38,314,0,276,4,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55976,G,G,ahl,professional,301,103,1047,3,944,11,22,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153716,G,G,ahl,professional,1078,238,2526,1,2288,33,42,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
592007,G,G,nhl,professional,1517,24,239,0,215,1,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55285,G,G,nhl,professional,1691,139,1671,8,1532,35,18,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
525550,G,G,nhl,professional,540,233,2740,6,2507,34,39,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
746320,G,G,nhl,professional,472,138,1402,3,1264,20,21,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152950,G,G,ahl,professional,973,63,614,0,551,10,8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833467,G,G,nhl,professional,3289,339,3675,7,3336,78,34,11,51,522,471,0,9,9,0
824874,G,G,ahl,professional,483,140,1393,1,1253,21,19,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48051,G,G,nhl,professional,276,6,28,0,22,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
653574,G,G,nhl,professional,415,213,2302,4,2089,35,26,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
